Hours,Low,High,Last,Weight Avg
 00-01,-,-,-,-
00:00-00:30,69.99,123.62,87.00,101.92
00:30-01:00,81.00,120.00,90.00,99.52
 01-02,-,-,-,-
01:00-01:30,90.06,149.00,105.98,103.59
01:30-02:00,54.17,110.37,105.00,99.90
 02-03,-,-,-,-
02:00-02:30,74.32,109.00,79.99,91.90
02:30-03:00,87.66,110.30,98.37,99.16
 03-04,-,-,-,-
03:00-03:30,89.56,111.75,106.99,97.52
03:30-04:00,85.40,106.52,99.86,94.63
 04-05,-,-,-,-
04:00-04:30,71.18,102.20,71.18,89.67
04:30-05:00,73.83,102.40,79.99,87.42
 05-06,-,-,-,-
05:00-05:30,45.73,104.88,103.00,86.94
05:30-06:00,78.53,105.76,103.91,89.90
 06-07,-,-,-,-
06:00-06:30,76.00,105.32,95.00,94.64
06:30-07:00,77.00,105.00,99.99,91.99
 07-08,-,-,-,-
07:00-07:30,91.97,150.00,122.00,109.64
07:30-08:00,105.72,150.00,141.05,124.95
 08-09,-,-,-,-
08:00-08:30,133.62,160.46,154.00,152.73
08:30-09:00,150.00,179.79,158.99,160.83
 09-10,-,-,-,-
09:00-09:30,115.93,140.91,124.98,125.68
09:30-10:00,115.10,140.87,135.85,125.21
 10-11,-,-,-,-
10:00-10:30,91.00,126.73,122.08,111.79
10:30-11:00,94.40,127.00,125.00,112.06
 11-12,-,-,-,-
11:00-11:30,96.04,125.99,125.99,111.01
11:30-12:00,93.74,120.99,115.01,109.84
 12-13,-,-,-,-
12:00-12:30,89.90,119.89,113.92,107.83
12:30-13:00,89.04,113.29,110.18,105.51
 13-14,-,-,-,-
13:00-13:30,94.10,112.13,105.00,105.06
13:30-14:00,85.21,106.99,101.02,98.44
 14-15,-,-,-,-
14:00-14:30,91.51,117.30,114.09,104.71
14:30-15:00,88.30,114.15,114.15,102.50
 15-16,-,-,-,-
15:00-15:30,86.06,114.00,112.50,103.71
15:30-16:00,87.43,116.69,113.85,106.20
 16-17,-,-,-,-
16:00-16:30,76.70,109.95,108.15,101.30
16:30-17:00,76.50,117.66,116.00,103.94
 17-18,-,-,-,-
17:00-17:30,95.68,129.99,120.00,113.79
17:30-18:00,93.00,131.60,118.00,115.22
 18-19,-,-,-,-
18:00-18:30,85.00,130.50,104.00,114.50
18:30-19:00,86.19,129.99,92.00,115.91
 19-20,-,-,-,-
19:00-19:30,114.55,154.00,147.49,138.57
19:30-20:00,116.31,159.87,135.00,136.28
 20-21,-,-,-,-
20:00-20:30,131.30,150.99,142.00,141.28
20:30-21:00,133.80,157.98,146.73,146.75
 21-22,-,-,-,-
21:00-21:30,129.73,159.01,147.01,144.16
21:30-22:00,128.01,154.00,149.66,142.78
 22-23,-,-,-,-
22:00-22:30,120.70,167.16,160.08,146.50
22:30-23:00,86.53,153.88,145.00,129.22
 23-24,-,-,-,-
23:00-23:30,111.00,154.99,147.86,123.19
23:30-24:00,101.02,137.99,119.00,118.26
